Year,Temperature_Increase
1961,0.1630531914893617
1962,-0.013476190476190475
1963,-0.006042553191489366
1964,-0.07005851063829788
1965,-0.2470265957446809
1966,0.10550520833333334
1967,-0.11083246073298429
1968,-0.19910994764397907
1969,0.15794210526315788
1970,0.09248677248677248
1971,-0.2005130890052356
1972,-0.08490625
1973,0.22936787564766842
1974,-0.16303124999999996
1975,-0.023494680851063838
1976,-0.24591534391534392
1977,0.16581621621621623
1978,0.06962962962962964
1979,0.23379894179894178
1980,0.24728795811518323
1981,0.1786439790575916
1982,0.17649479166666668
1983,0.3445947368421053
1984,0.08011702127659576
1985,0.07128723404255319
1986,0.15115789473684213
1987,0.405021052631579
1988,0.4900894736842105
1989,0.2561684210526316
1990,0.5552592592592592
1991,0.3681648936170213
1992,0.23649038461538466
1993,0.2159856459330144
1994,0.609514423076923
1995,0.6292380952380953
1996,0.2792285714285714
1997,0.5439951690821256
1998,0.971252380952381
1999,0.7433014354066986
2000,0.6697894736842106
2001,0.8501538461538461
2002,0.925
2003,0.8442289719626169
2004,0.7778403755868544
2005,0.8529905660377358
2006,0.8765767441860465
2007,1.0225483870967742
2008,0.8084103773584906
2009,0.9105660377358491
2010,1.0990418604651162
2011,0.8213917050691244
2012,0.9022232558139536
2013,0.9311990740740741
2014,1.114814814814815
2015,1.269773148148148
2016,1.4395211267605637
2017,1.280785046728972
2018,1.3021126760563382
2019,1.4430610328638498
2020,1.5520377358490567
2021,1.343530516431925
2022,1.382112676056338
